location,per change,abs change,avg,standard dev
concepción chile,61.0555050045,44.7333333333,73.2666666667,10.686232056
pompano beach fl,inf,51.0,0.0,0.0
newyork,132.394366197,100.266666667,75.7333333333,18.0940751506
bikini bottom ,252.443609023,89.5333333333,35.4666666667,35.1451593
radford va,inf,54.0,0.0,0.0
jackson ms,429.299363057,224.666666667,52.3333333333,27.5576164104
boise idaho,inf,128.0,0.0,0.0
bakersfield,208.622262774,304.866666667,146.133333333,58.299075655
mendoza argentina,243.309859155,46.0666666667,18.9333333333,27.1967318298
   ,inf,59.0,0.0,0.0
under your bed,159.888852566,326.066666667,203.933333333,40.2897284953
chi city,1068.71165644,116.133333333,10.8666666667,21.807847721
medellín,79.4380587484,124.4,156.6,94.0537435016
cape town south africa,147.933884298,119.333333333,80.6666666667,41.5959399728
alaska,283.287292818,273.466666667,96.5333333333,24.3169808067
東京都新宿区,47.3214285714,21.2,44.8,27.6747779274
denpasar bali indonesia,79.1443850267,29.6,37.4,31.4490063436
kathmandu,inf,62.0,0.0,0.0
queens ny,347.872340426,327.0,94.0,18.1805757151
joliet il,1890.90909091,69.3333333333,3.66666666667,13.7194104182
camp nou,342.62295082,41.8,12.2,24.5335144921
on mars,inf,65.0,0.0,0.0
beijing,2827.41935484,116.866666667,4.13333333333,15.4655171987
egypt,113.444027852,423.6,373.4,48.853249636
mar del plata,-10.1592115239,-26.8,263.8,102.017122746
336,3084.21052632,117.2,3.8,14.2182980697
330,963.876651982,145.866666667,15.1333333333,25.1392565965
londres,6.20245757753,7.06666666667,113.933333333,26.0370675939
under your bed ,370.046082949,53.5333333333,14.4666666667,24.0024072867
las vegas nevada,208.908600077,361.133333333,172.866666667,35.3494302956
grand prairie texas,inf,54.0,0.0,0.0
on twitter,inf,62.0,0.0,0.0
the windy city,inf,92.0,0.0,0.0
lima,75.2148677308,898.466666667,1194.53333333,163.408635703
california!,2109.09090909,77.3333333333,3.66666666667,13.7194104182
california ☀,171.604938272,166.8,97.2,21.3828591789
usa,304.975326007,8528.53333333,2796.46666667,296.349088445
carbondale il,inf,60.0,0.0,0.0
chi,244.852530585,19293.4,7879.6,1216.60449887
chasing the sun,inf,51.0,0.0,0.0
nagoya,1.30468150422,1.13333333333,86.8666666667,10.281807018
gastonia nc,inf,90.0,0.0,0.0
tacoma wa,680.104712042,259.8,38.2,31.5218442777
kuala lumpurmalaysia,17.5068119891,17.1333333333,97.8666666667,16.5161200717
bangalore india,353.125,67.8,19.2,27.2670741616
over there,208.553971487,136.533333333,65.4666666667,9.87162037808
shreveport la,375.913621262,150.866666667,40.1333333333,28.869514871
united kingdom,114.673913043,295.4,257.6,35.0081895181
maryland ,688.828337875,337.066666667,48.9333333333,30.1738665441
1/5,268.327402135,100.533333333,37.4666666667,51.6950889565
houstontx,191.939373062,371.466666667,193.533333333,44.7330849471
montreal quebec canada,inf,57.0,0.0,0.0
somewhere over the rainbow,149.424405219,778.8,521.2,59.9490895121
pachuca hidalgo,inf,58.0,0.0,0.0
north carolina ,447.767857143,334.333333333,74.6666666667,36.614508357
bristol ct,inf,65.0,0.0,0.0
bowling green kentucky,inf,76.0,0.0,0.0
hayward ca,inf,69.0,0.0,0.0
d(m)v ,inf,58.0,0.0,0.0
new zealand ,1346.42857143,50.2666666667,3.73333333333,13.968854244
manilaphilippines,2.48447204969,1.33333333333,53.6666666667,53.8153220643
