location,in_time,per change,abs change,avg,standard dev,main hr count
ma,2012-07-27 21:00:00,34.2707045735,8872.0,25888.0,7430.78427893,34760
ma,2012-08-12 22:00:00,103.223407456,22728.375,22018.625,4415.7898483,44747
ma,2012-07-27 09:00:00,5.4596191132,903.9,16556.1,641.093823087,17460
ma,2012-08-13 03:00:00,101.28672196,13067.0,12901.0,11257.2175958,25968
ma,2012-08-03 03:00:00,98.2787497745,12713.6666667,12936.3333333,11297.6043872,25650
ma,2012-08-10 09:00:00,10.5104121159,1732.2,16480.8,460.980433424,18213
indonesia,2012-07-29 08:00:00,11.157073874,2724.1,24415.9,1048.60969383,27140
indonesia,2012-08-12 02:00:00,66.2390932806,9204.75,13896.25,7612.55858352,23101
indonesia,2012-07-31 11:00:00,10.2863631186,2799.3,27213.7,1582.02718371,30013
indonesia,2012-08-11 03:00:00,92.6253905456,11133.7777778,12020.2222222,10574.1023026,23154
indonesia,2012-08-12 01:00:00,41.4427157001,4981.0,12019.0,3869.68160835,17000
indonesia,2012-08-03 04:00:00,149.588511461,12310.4545455,8229.54545455,10724.7321845,20540
indonesia,2012-07-31 10:00:00,6.83871830693,1840.6,26914.4,1212.47286155,28755
indonesia,2012-08-10 05:00:00,159.867619804,15095.5,9442.5,10368.5433138,24538
indonesia,2012-08-12 00:00:00,16.2720294086,1505.0,9249.0,1438.65970612,10754
indonesia,2012-08-02 13:00:00,7.78520515567,2951.2,37907.8,2148.86182897,40859
indonesia,2012-08-12 20:00:00,25.3381318309,1908.77777778,7533.22222222,1006.48119459,9442
indonesia,2012-08-10 16:00:00,13.2428696039,3218.6,24304.4,3008.75440008,27523
indonesia,2012-08-10 04:00:00,188.138982627,15053.0,8001.0,10429.0981045,23054
indonesia,2012-08-03 05:00:00,132.560067138,12794.3,9651.7,10646.1841338,22446
indonesia,2012-08-12 19:00:00,18.8943573309,917.111111111,4853.88888889,818.59411248,5771
indonesia,2012-08-13 00:00:00,28.0113885239,2558.0,9132.0,1262.683947,11690
indonesia,2012-08-11 18:00:00,42.199280038,3106.5,7361.5,1168.69279539,10468
indonesia,2012-08-12 18:00:00,21.7198735309,1628.1,7495.9,1414.98165712,9124
indonesia,2012-08-12 08:00:00,9.72083035075,2376.5,24447.5,1122.83625253,26824
indonesia,2012-08-10 12:00:00,6.61870411664,2071.8,31302.2,1978.61981189,33374
indonesia,2012-08-10 06:00:00,29.0947740106,5734.9,19711.1,5249.48571672,25446
indonesia,2012-08-11 15:00:00,13.5484692696,4680.4,34545.6,2443.90143827,39226
indonesia,2012-08-11 19:00:00,36.4995459097,1741.55555556,4771.44444444,671.493875394,6513
indonesia,2012-08-12 17:00:00,21.5975543059,3080.2,14261.8,2267.30544039,17342
indonesia,2012-08-12 07:00:00,11.5510081202,2800.9,24248.1,1760.00008239,27049
indonesia,2012-08-12 09:00:00,10.0649508022,2491.8,24757.2,809.88453498,27249
indonesia,2012-07-28 16:00:00,12.6157059968,3067.9,24318.1,3023.03292903,27386
indonesia,2012-07-30 11:00:00,7.76258721133,2117.3,27275.7,1675.60114884,29393
indonesia,2012-08-12 13:00:00,14.3878439198,5421.8,37683.2,1654.3975822,43105
indonesia,2012-07-29 07:00:00,8.57476597075,2084.8,24313.2,1848.15025363,26398
indonesia,2012-08-12 16:00:00,21.4189794091,5167.8,24127.2,2750.73316772,29295
indonesia,2012-08-11 16:00:00,22.4098664642,5402.1,24105.9,2709.50070862,29508
indonesia,2012-08-12 21:00:00,16.6709086281,3029.375,18171.625,899.122758234,21201
indonesia,2012-08-12 23:00:00,23.9669421488,1943.0,8107.0,412.837740523,10050
indonesia,2012-07-27 22:00:00,15.9621400497,1990.0,12467.0,1637.12705677,14457
indonesia,2012-08-01 10:00:00,5.53660826613,1491.9,26946.1,1255.28111991,28438
indonesia,2012-08-13 01:00:00,46.185847183,5523.25,11958.75,3787.02451636,17482
indonesia,2012-08-12 05:00:00,214.813382111,19436.1,9047.9,9689.19610133,28484
indonesia,2012-08-11 07:00:00,8.19189527005,1992.4,24321.6,1857.3927533,26314
indonesia,2012-08-11 17:00:00,37.5984979945,5286.8,14061.2,1860.71323959,19348
indonesia,2012-08-13 02:00:00,63.2065997131,8811.0,13940.0,7664.15274182,22751
indonesia,2012-07-28 18:00:00,19.7927764756,1486.2,7508.8,1429.1072598,8995
indonesia,2012-08-12 15:00:00,14.8102531407,5110.5,34506.5,2364.28214264,39617
indonesia,2012-08-10 23:00:00,9.37068455317,771.875,8237.125,723.676798975,9009
indonesia,2012-08-02 12:00:00,11.9078877679,3709.7,31153.3,1747.59005777,34863
indonesia,2012-08-11 04:00:00,209.29172915,16494.0909091,7880.90909091,10245.8561597,24375
