change,perc_change,total_count,location
192.13333,21.98657,1066,"dayton, ohio"
214.4,21.97622,1190,in my zone
189.86667,21.97192,1054,minnesota 
332.66667,21.95337,1848,ma
285.86667,21.86974,1593,manhattan
3227.8,21.82096,18020,"chicago, il"
674.4,21.81395,3766,"mÌ©xico, d.f."
239.53333,21.74676,1341,"medellÌ_n, colombia"
6409.93333,21.74623,35886,los angeles
350.4,21.71542,1964,"tallahassee, fl"
371.66667,21.70528,2084,minsk
686.13333,21.52328,3874,"johannesburg, south africa"
1796.6,21.48426,10159,philadelphia
181.53333,21.44601,1028,"virginia beach, va"
240,21.37133,1363,mÌ_nchen
238.26667,21.33604,1355,"pretoria, south africa"
1269.46667,21.24441,7245,johannesburg
3065.13333,21.21953,17510,"atlanta, ga"
198.4,21.16041,1136,"los angeles,ca"
363,21.04348,2088,columbus
403.53333,21.03416,2322,"birmingham, al"
511.4,21.01414,2945,"columbia, sc"
183.33333,21.0084,1056,in the sky
489.33333,21.00444,2819,cÌÁdiz
500.66667,20.91048,2895,socal
10848.8,20.88549,62793,new york
407.86667,20.86132,2363,new hampshire
848.26667,20.83306,4920,lille
417.8,20.79435,2427,"greensboro, nc"
1155.8,20.72738,6732,colorado
414.73333,20.69252,2419,"charleston, sc"
172.26667,20.68689,1005,"nottingham, uk"
704.6,20.64217,4118,indianapolis
240.66667,20.63447,1407,colorado springs
194.4,20.62381,1137,tucson
538.4,20.60782,3151,"columbus, oh"
2029.06667,20.59144,11883,georgia
256.13333,20.57516,1501,"concepciÌ_n, chile"
1313.06667,20.55542,7701,melbourne
221.66667,20.51836,1302,"albuquerque, nm"
252.86667,20.47282,1488,boston ma
227.6,20.44189,1341,the ville
271.2,20.37872,1602,"nairobi,kenya"
221,20.34991,1307,mn
319.86667,20.34603,1892,"seattle, washington"
179.73333,20.32569,1064,"staten island, new york"
927.73333,20.27714,5503,"bogotÌÁ, colombia"
644.13333,20.21846,3830,guatemala 
2029.06667,20.17179,12088,puerto rico
209.33333,20.13466,1249,"ottawa, ontario"
191.2,20.13055,1141,california ‰÷Û
1340.86667,19.96189,8058,san diego
186.6,19.84262,1127,all over the world
1604.26667,19.8358,9692,houston
192.66667,19.79452,1166,jersey city
405.46667,19.78337,2455,fl
569.2,19.73785,3453,utah
233.26667,19.72268,1416,u.s.
253.73333,19.69572,1542,capital federal
172.33333,19.6354,1050,pr
476.8,19.53938,2917,ghana
457.13333,19.48676,2803,delaware
365.46667,19.46526,2243,"cleveland, oh"
191.06667,19.45821,1173,"medellin, colombia"
1234.53333,19.34864,7615,tennessee
248.86667,19.33496,1536,"queens, ny"
172.66667,19.32836,1066,neptune
2528.13333,19.31219,15619,boston
434,19.29747,2683,"cincinnati, oh"
269.26667,19.27832,1666,"louisville, kentucky"
249.4,19.26464,1544,"durban, south africa"
1536.86667,19.26107,9516,mexico city
170.4,19.24119,1056,gotham city 
428.66667,19.22847,2658,"las vegas, nevada"
493.13333,19.1816,3064,polska
1412.46667,19.1611,8784,sydney
1222.93333,19.10216,7625,"charlotte, nc"
724.33333,19.09826,4517,arkansas
1196.53333,19.08509,7466,edinburgh
517.66667,19.05054,3235,mÌ©xico df
230.53333,19.045,1441,"el paso, tx"
190.06667,18.98894,1191,cloud nine
850.86667,18.97929,5334,oklahoma
223.13333,18.87974,1405,"oslo, norway"
1371.8,18.84289,8652,"toronto, canada"
403.33333,18.83268,2545,"knoxville, tn"
2234.6,18.72873,14166,atlanta
1199.4,18.70964,7610,detroit
2083.46667,18.67653,13239,"houston, tx"
573.06667,18.6246,3650,mÌ©xico d.f.
879.46667,18.56773,5616,mexico df
337.53333,18.55122,2157,"iphone: 0.000000,0.000000"
455.86667,18.52263,2917,"st. louis, mo"
523.2,18.50202,3351,"richmond, va"
170.66667,18.48375,1094,"kansas city, missouri"
528.8,18.43022,3398,bay area
248.73333,18.36664,1603,"jacksonville, florida"
155.46667,18.30024,1005,“¤Ô
229,18.26156,1483,medellÌ_n
1687.73333,18.25708,10932,virginia
217.86667,18.21425,1414,"chattanooga, tn"
473.53333,18.16763,3080,"cleveland, ohio"
1603.13333,18.16198,10430,minnesota
974.86667,18.13998,6349,"orlando, fl"
589.13333,18.1335,3838,"tampa, fl"
418.53333,18.13036,2727,"kansas city, mo"
153.2,18.0703,1001,brasÌ_lia - df
1044.8,18.05052,6833,santiago
195.33333,17.99202,1281,"monterrey, mexico"
3058.13333,17.95853,20087,el salvador
672.13333,17.92897,4421,"columbus, ohio"
607.86667,17.89352,4005,"cape town, south africa"
